18禁	18禁 🔞
剑刃	剑刃 ⚔️
剑号	剑号 †
剑斗	剑斗 🤺
剛果	剛果 🇨🇬
剛果金	剛果金 🇨🇩
剪	剪 ✂️
剪刀	剪刀 ✂️ 剪刀 ✂️ 剪刀 ✂ ✁ ✃ ✄
剪刀手	剪刀手 ✌️
剪切板	剪切板 📋️
剪发	剪发 💇‍♂️ 💇‍♀️ 剪发 💇🏻
剪发女	剪发女 💇🏻‍♀️
剪发男	剪发男 💇🏻‍♂️
剪头	剪头 💇‍♂️ 💇‍♀️
剪头发	剪头发 💇‍♂️ 💇‍♀️ 剪头发 💇🏻
剪头发女	剪头发女 💇🏻‍♀️
剪头发男	剪头发男 💇🏻‍♂️
剪子	剪子 ✂️ 剪子 ✂️ 剪子 ✂ ✁ ✃ ✄
剪影	剪影 🗣 👤 👥 🫂
剪貼板	剪貼板 📋️
剪贴板	剪贴板 📋
剪輯	剪輯 🎬️
割	割 🈹 割 🈹️ 割 🈹
創可貼	創可貼 🩹
劈形算子	劈形算子 ∇
劈形算符	劈形算符 ∇
劍	劍 ⚔️
力量	力量 💪🏻️ 力量 💪 ┗|*｀0′*|┛ 🦾 💪🏻 💪🏼 💪🏽 💪🏾 💪🏿
办公室职员	办公室职员 👨‍💼 👩‍💼
办公楼	办公楼 🏢 办公楼 🏢
功率	功率 ㎺ ㎻ ㎼ ㎽ ㎾ ㎿
加	加 ➕ 加 ➕️ 加 + ➕ ⁺ ₊ ⊕
加冕	加冕 🫅🏻
加冕女	加冕女 🤴🏻
加冕男	加冕男 👸🏻️
加冰	加冰 🧊
加减	加减 ± ∓
加勒比	加勒比 🇧🇶
加号	加号 +
加密	加密 🔐️
加彭	加彭 🇬🇦
加拿大	加拿大 🇨🇦 加拿大 🇨🇦 加拿大 🇨🇦
加油	加油 💪 ⛽ 加油 😼️ 加油 [加油] [加油加油] ⛽ (ง•̀_•́)ง ୧(๑•̀⌄•́๑)૭
加油站	加油站 ⛽ 加油站 ⛽️
加納	加納 🇬🇭
加纳	加纳 🇬🇭 加纳 🇬🇭
加纳共和国	加纳共和国 🇬🇭
加蓬	加蓬 🇬🇦 加蓬 🇬🇦 加蓬 🇬🇦
加藤绫野	加藤绫野 加藤あやの
加速度	加速度 ㎨
加那利羣岛	加那利羣岛 🇮🇨
加那利群岛	加那利群岛 🇮🇨
动物脚印	动物脚印 🐾
动车	动车 🚄 🚅
助听器	助听器 🦻 助听器 🦻 🦻🏻 🦻🏼 🦻🏽 🦻🏾 🦻🏿
助聽器	助聽器 🦻🏻
努力	努力 💪
劳	劳 ㊘ ㈸
劳伦花恋	劳伦花恋 ローレン花恋
勋章	勋章 🎖 勋章 🎖️
動物	動物 🦆 🦅 🦉 🦇 🐺 🐗 🦄 🐴 🐝 🐛 🐞 🪲 🦟 🐚 🐌 🦋 🐜 🕷️ 🐢 🐍 🦎 🦂 🦀 🦑 🐙 🦐 🦞 🦪 🐠 🐟 🐡 🪼 🐬 🦈 🐋 🐊 🐆 🐅 🐃 🐂 🐄 🦬 🦌 🐪 🐫 🐘 🦏 🦍 🦧 🦣 🐎 🐖 🐐 🐏 🐑 🐕 🐩 🐈 🐈‍⬛️ 🐇 🐁 🐀 🐿️ 🐉 🐒 🦙 🦛 🫏 🫎 🦖 🦕 🦡 🦝 🦨 🦫 🦦 🦭 🦥 🐓 🦃 🕊️ 🦩 🪿 🦢 🦜 🦤 🦚 🐦‍⬛
動物臉	動物臉 🐶 🐱 🐭 🐹 🐰 🦊 🐻 🐻‍❄️ 🐼 🐨 🐯 🦁 🐮 🐷 🐽 🐸 🐵
動车	動车 🚅️
勝利	勝利 🔱️
勞作	勞作 ⚒️
勞動	勞動 ⚒️
勞工	勞工 👨🏻‍🏭 🧑🏻‍🏭
勞工女	勞工女 👩🏻‍🏭
勞工男	勞工男 👨🏻‍🏭
勢利	勢利 🤑️
勺	勺 🥄 勺 🥄
勺子	勺子 🥄 勺子 🥄
勾	勾 ✅️ ✔️ 🪝 勾 ✔️ ✅ ☑ ✓ ✔ ⭕ √
勾选	勾选 ☑️ ✔ 勾选 ✅️
勿丟垃圾	勿丟垃圾 🚯️
勿丢垃圾	勿丢垃圾 🚯
勿扔垃圾	勿扔垃圾 🚯 勿扔垃圾 🚯️
勿擾	勿擾 🔕️
包	包 👝 👛 👜 💼 🧳 🎒 包 👜 👝 👛 🎒 💼
包包	包包 👜
包含	包含 ⊂ ⊃ ⊆ ⊇ 包含 ⊃ ⊇
包含于	包含于 ⊂ ⊆
包字头	包字头 勹
包穀	包穀 🌽️
包米	包米 🌽️
包装	包装 🎁 包装 📦
包装盒	包装盒 🎁 包装盒 🎁️
包裹	包裹 📦 包裹 📦️ 包裹 📦
匈牙利	匈牙利 🇭🇺 匈牙利 🇭🇺 匈牙利 🇭🇺
匕首	匕首 🗡 匕首 🗡️ 匕首 🗡 † ‡
化妆	化妆 🥸
化妝室	化妝室 🚻️
化学	化学 ⚗️
化学家	化学家 👨‍🔬 👩‍🔬
化学物质	化学物质 🧪
化粧室	化粧室 🚻️
北	北 🀃
北川杏树	北川杏树 北川杏树
北川柚子	北川柚子 北川ゆず
北川爱莉香	北川爱莉香 北川エリカ
北朝鲜	北朝鲜 🇰🇵 北朝鲜 🇰🇵
北极熊	北极熊 🐻‍❄️ 北极熊 🐻‍❄️
北极熊头	北极熊头 🐻‍❄️
北极熊脸	北极熊脸 🐻‍❄️
北極熊	北極熊 🐻‍❄️
北韓	北韓 🇰🇵
北韩	北韩 🇰🇵
北马其顿	北马其顿 🇲🇰
北马其顿共和国	北马其顿共和国 🇲🇰
北马利安納羣岛	北馬利安納羣岛 🇲🇵
北马里亚纳群岛	北马里亚纳群岛 🇲🇵
北马里亞納羣岛	北馬里亞納羣岛 🇲🇵
匙	匙 🥄 匙 🥄
匙子	匙子 🥄
匚部	匚部 匚
匯兌	匯兌 💱️
匹诺曹	匹诺曹 🤥
区字框	区字框 匚
医	医 ㊩
医护人员	医护人员 👨‍⚕️ 👩‍⚕️
医生	医生 👨‍⚕️ 👩‍⚕️ 医生 👨‍⚕️ 🧑‍⚕️ 👩‍⚕️ 👨🏻‍⚕️ 👨🏼‍⚕️ 👨🏽‍⚕️ 👨🏾‍⚕️ 👨🏿‍⚕️ 🧑🏻‍⚕️ 🧑🏼‍⚕️ 🧑🏽‍⚕️ 🧑🏾‍⚕️ 🧑🏿‍⚕️ 👩🏻‍⚕️ 👩🏼‍⚕️ 👩🏽‍⚕️ 👩🏾‍⚕️ 👩🏿‍⚕️
医疗标志	医疗标志 ⚕
医疗符号	医疗符号 ⚕
医院	医院 🏥 医院 🏥
匿名	匿名 👤️
十	十 🔟 十 🔟️ 十 十、 拾 Ⅹ ⅹ 〸 ⑩ ⓾ ⒑ ❿ ➓ ㊉ ㈩ 🔟
十一	十一 Ⅺ ⅺ ⑪
十一月	十一月 Nov. November
十一月份	十一月份 Nov. November
十一点	十一点 🕚 十一点 🕚️
十一点半	十一点半 🕦 十一点半 🕦️
十一点钟	十一点钟 🕚
十二	十二 Ⅻ ⅻ ⑫
十二月	十二月 Dec. December
十二月份	十二月份 Dec. December
十二点	十二点 🕛 十二点 🕛️
十二点半	十二点半 🕧 十二点半 🕧️
十二点钟	十二点钟 🕛
十八禁	十八禁 🔞 十八禁 🔞️
十六分休止符	十六分休止符 𝄿
十六分音符	十六分音符 𝅘𝅥𝅯
十分之一	十分之一 ⅒
十字头盔	十字头盔 ⛑️
十字安全帽	十字安全帽 ⛑️
十字架	十字架 ✝️ 十字架 ✝️ 十字架 ✝
十字路口	十字路口 🚥️ 🚦️
十字鎬	十字鎬 ⛏️
十月	十月 Oct. October
十月份	十月份 Oct. October
十次幂	十次幂 ¹⁰
十次方	十次方 ¹⁰
十点	十点 🕙 十点 🕙️
十点半	十点半 🕥 十点半 🕥️
十点钟	十点钟 🕙
千	千 仟 ㌔
千克	千克 ㎏
千分	千分 ‰
千分之	千分之 ‰
千分号	千分号 ‰
千字文	千字文 天地玄黄 宇宙洪荒 日月盈昃 辰宿列张 寒来暑往 秋收冬藏 闰余成岁 律吕调阳 云腾致雨 露结为霜 金生丽水 玉出昆岗 剑号巨阙 珠称夜光 果珍李柰 菜重芥姜 海咸河淡 鳞潜羽翔 龙师火帝 鸟官人皇 始制文字 乃服衣裳 推位让国 有虞陶唐 吊民伐罪 周发殷汤 坐朝问道 垂拱平章 爱育黎首 臣伏戎羌 遐迩一体 帅宾归王 鸣凤在竹 白驹食场 化被草木 赖及万方 盖此身发 四大五常 恭惟鞠养 岂敢毁伤 女慕贞洁 男效才良 知过必改 得能莫忘 罔谈彼短 靡恃己长 信使可复 器欲难量 墨悲丝染 诗赞羔羊 景行维贤 克念作圣 德建名立 形端表正 空谷传声 虚堂习听 祸因恶积 福缘善庆 尺璧非宝 寸阴是竞 资父事君 曰严与敬 孝当竭力 忠则尽命 临深履薄 夙兴温凊 似兰斯馨 如松之盛 川流不息 渊澄取映 容止若思 言辞安定 笃初诚美 慎终宜令 荣业所基 籍甚无竟 学优登仕 摄职从政 存以甘棠 去而益咏 乐殊贵贱 礼别尊卑 上和下睦 夫唱妇随 外受傅训 入奉母仪 诸姑伯叔 犹子比儿 孔怀兄弟 同气连枝 交友投分 切磨箴规 仁慈隐恻 造次弗离 节义廉退 颠沛匪亏 性静情逸 心动神疲 守真志满 逐物意移 坚持雅操 好爵自縻 都邑华夏 东西二京 背邙面洛 浮渭据泾 宫殿盘郁 楼观飞惊 图写禽兽 画彩仙灵 丙舍旁启 甲帐对楹 肆筵设席 鼓瑟吹笙 升阶纳陛 弁转疑星 右通广内 左达承明 既集坟典 亦聚群英 杜稿钟隶 漆书壁经 府罗将相 路侠槐卿 户封八县 家给千兵 高冠陪辇 驱毂振缨 世禄侈富 车驾肥轻 策功茂实 勒碑刻铭 盘溪伊尹 佐时阿衡 奄宅曲阜 微旦孰营 桓公匡合 济弱扶倾 绮回汉惠 说感武丁 俊乂密勿 多士是宁 晋楚更霸 赵魏困横 假途灭虢 践土会盟 何遵约法 韩弊烦刑 起翦颇牧 用兵最精 宣威沙漠 驰誉丹青 九州禹迹 百郡秦并 岳宗泰岱 禅主云亭 雁门紫塞 鸡田赤城 昆池碣石 钜野洞庭 旷远绵邈 岩岫杳冥 治本于农 务资稼穑 俶载南亩 我艺黍稷 税熟贡新 劝赏黜陟 孟轲敦素 史鱼秉直 庶几中庸 劳谦谨敕 聆音察理 鉴貌辨色 贻厥嘉猷 勉其祗植 省躬讥诫 宠增抗极 殆辱近耻 林皋幸即 两疏见机 解组谁逼 索居闲处 沉默寂寥 求古训论 散虑逍遥 欣奏累遣 戚谢欢招 渠荷的历 园莽抽条 枇杷晚翠 梧桐蚤凋 陈根委翳 落叶飘摇 游鹍独运 凌摩绛霄 耽读玩市 寓目囊箱 易輶攸畏 属耳垣墙 具膳餐饭 适口充肠 饱饫烹宰 饥厌糟糠 亲戚故旧 老少异粮 妾御绩纺 侍巾帷房 纨扇圆洁 银烛炜煌 昼眠夕寐 蓝笋象床 弦歌酒宴 接杯举觞 矫手顿足 悦豫且康 嫡后嗣续 祭祀烝尝 稽颡再拜 悚惧恐慌 笺牒简要 顾答审详 骸垢想浴 执热愿凉 驴骡犊特 骇跃超骧 诛斩贼盗 捕获叛亡 布射僚丸 嵇琴阮啸 恬笔伦纸 钧巧任钓 释纷利俗 并皆佳妙 毛施淑姿 工颦妍笑 年矢每催 曦晖朗曜 旋即斡旋 晦魄环照 指薪修祜 永绥吉劭 矩步引领 俯仰廊庙 束带矜庄 徘徊瞻眺 孤陋寡闻 愚蒙等诮 谓语助者 焉哉乎也
千帕	千帕 kPa
千牛米	千牛米 kN⋅m
千瓦	千瓦 瓩
千米	千米 ㎞ ㏎
千里达及多巴哥	千里达及多巴哥 🇹🇹
千里达及托巴哥	千里达及托巴哥 🇹🇹
升	升 ㎕ ㎖ ㎗ ㎘ ㍑
升号	升号 ♯
升级	升级 🆙 升级 🆙
升记号	升记号 ♯
升降机	升降机 🛗
午餐	午餐 🥘 🍜 🍲 🍛 🍝 🍱 🍚 🥗
半	半 :30
半包围结构	半包围结构 ⿵ ⿶ ⿷ ⿼ ⿸ ⿹ ⿺ ⿽
半夜	半夜 🌃
半月	半月 🌓️
半獸人	半獸人 🧌
半身像	半身像 👤 👥
华夫饼	华夫饼 🧇
华氏度	华氏度 ℉ 华氏度 °F
协	协 ㊯ ㈿
单人旁	单人旁 亻
单位	单位 Å ℃ ％ ‰ ‱ ° ℉ ㏃ ㏆ ㎈ ㏄ ㏅ ㎝ ㎠ ㎤ ㏈ ㎗ ㎙ ㎓ ㎬ ㏉ ㏊ ㏋ ㎐ ㏌ ㎄ ㎅ ㎉ ㎏ ㎑ ㏍ ㎘ ㎞ ㏎ ㎢ ㎦ ㎪ ㏏ ㎸ ㎾ ㏀ ㏐ ㏓ ㎧ ㎨ ㎡ ㎥ ㎃ ㏔ ㎆ ㎎ ㎒ ㏕ ㎖ ㎜ ㎟ ㎣ ㏖ ㎫ ㎳ ㎷ ㎹ ㎽ ㎿ ㏁ ㎁ ㎋ ㎚ ㎱ ㎵ ㎻ ㏘ ㎩ ㎀ ㎊ ㏗ ㏙ ㏚ ㎰ ㎴ ㎺ ㎭ ㎮ ㎯ ㏛ ㏜ ㎔ ㏝ ㎂ ㎌ ㎍ ㎕ ㎛ ㎲ ㎶ ㎼
单峰驼	单峰驼 🐪
单峰骆驼	单峰骆驼 🐪
单曲	单曲 🔂
单曲循环	单曲循环 🔂
单板滑雪	单板滑雪 🏂
单片眼镜	单片眼镜 🧐
单眼	单眼 👁
单眼偷看	单眼偷看 🫣
单眼吐舌	单眼吐舌 😜
单立人	单立人 亻
单耳刀	单耳刀 卩
单耳旁	单耳旁 卩
单耳朵	单耳朵 卩
单蛇之杖	单蛇之杖 ⚕
单蛇杖	单蛇杖 ⚕
单车	单车 🚲 单车 🚲
单轨	单轨 🚝
单轨铁路	单轨铁路 🚝
单选	单选 🔘
单选按钮	单选按钮 🔘
单选框	单选框 🔘
南	南 🀁
南乔治亚和南桑威奇群岛	南乔治亚和南桑威奇群岛 🇬🇸
南喬治亞与南三明治羣岛	南喬治亞与南三明治羣岛 🇬🇸
南喬治亞和南桑威奇羣岛	南喬治亞和南桑威奇羣岛 🇬🇸
南帽	南帽 🎩️
南朝鲜	南朝鲜 🇰🇷 南朝鲜 🇰🇷
南条一香	南条一香 南条いちか
南极洲	南极洲 🇦🇶 南极洲 🇦🇶
南極	南極 🇦🇶
南極洲	南極洲 🇦🇶
南瓜	南瓜 🎃️ 南瓜 🎃
南瓜人	南瓜人 🎃️
南瓜头	南瓜头 🎃
南瓜灯	南瓜灯 🎃 南瓜灯 🎃
南瓜燈	南瓜燈 🎃️
南瓜臉	南瓜臉 🎃️
南苏丹	南苏丹 🇸🇸
南苏丹共和国	南苏丹共和国 🇸🇸
南蘇丹	南蘇丹 🇸🇸
南非	南非 🇿🇦 南非 🇿🇦 南非 🇿🇦
南非共和国	南非共和国 🇿🇦
南韓	南韓 🇰🇷
南韩	南韩 🇰🇷
博士	博士 🧑🏻‍🎓 博士 👨‍🎓 🧑‍🎓 👩‍🎓 👨🏻‍🎓 👨🏼‍🎓 👨🏽‍🎓 👨🏾‍🎓 👨🏿‍🎓 🧑🏻‍🎓 🧑🏼‍🎓 🧑🏽‍🎓 🧑🏾‍🎓 🧑🏿‍🎓 👩🏻‍🎓 👩🏼‍🎓 👩🏽‍🎓 👩🏾‍🎓 👩🏿‍🎓
博士女	博士女 👩🏻‍🎓
博士男	博士男 👨🏻‍🎓
博奈爾	博奈爾 🇧🇶
博物馆	博物馆 🏛
博茨瓦納	博茨瓦納 🇧🇼
博茨瓦纳	博茨瓦纳 🇧🇼 博茨瓦纳 🇧🇼
博茨瓦纳共和国	博茨瓦纳共和国 🇧🇼
占卜	占卜 🔮
卡塔尔	卡塔尔 🇶🇦 卡塔尔 🇶🇦
卡塔尔国	卡塔尔国 🇶🇦
卡塔爾	卡塔爾 🇶🇦
卡士达	卡士达 🍮️
卡帕	卡帕 kappa κ Κ
卡片存档盒	卡片存档盒 🗃
卡片盒	卡片盒 🗃
卡片相机	卡片相机 📷
卡片索引	卡片索引 📇
卡片索引分隔卡	卡片索引分隔卡 🗂
卡牌索引	卡牌索引 📇
卡路里	卡路里 ㎈ ㎉ ㌍
卡车	卡车 🚛 卡车 🚛️ 🛻
卡达	卡达 🇶🇦
卢旺达	卢旺达 🇷🇼 卢旺达 🇷🇼
卢旺达共和国	卢旺达共和国 🇷🇼
卢森堡	卢森堡 🇱🇺 卢森堡 🇱🇺
卢森堡大公国	卢森堡大公国 🇱🇺
卢比	卢比 ₨
卩部	卩部 卩
卫兵	卫兵 💂‍♂️ 💂‍♀️
卫士	卫士 💂‍♂️ 💂‍♀️ 卫士 💂🏻
卫士女	卫士女 💂🏻‍♀️
卫士男	卫士男 💂🏻‍♂️
卫星	卫星 🛰 卫星 🛰️ 卫星 🛰
卫星天线	卫星天线 📡
卫生紙	卫生紙 🧻
卫生纸	卫生纸 🧻 卫生纸 🧻
卫生間	卫生間 🚾️
卫生间	卫生间 🚻 🚾
卫門	卫門 💂🏻
卫門女	卫門女 💂🏻‍♀️
卫門男	卫門男 💂🏻‍♂️
印	印 ㊞
印刷机	印刷机 🖨
印尼	印尼 🇮🇩
印度	印度 🇮🇳 印度 🇮🇳 印度 🇮🇳
印度共和国	印度共和国 🇮🇳
印度卢比	印度卢比 ₹
印度寺庙	印度寺庙 🛕
印度寺廟	印度寺廟 🛕
印度尼西亚	印度尼西亚 🇮🇩 印度尼西亚 🇮🇩
印度尼西亚共和国	印度尼西亚共和国 🇮🇩
印度尼西亞	印度尼西亞 🇮🇩
印度庙	印度庙 🛕
印度廟	印度廟 🛕
印度教	印度教 🕉️ 🛕
印度神廟	印度神廟 🛕
危地马拉	危地马拉 🇬🇹 危地馬拉 🇬🇹 危地马拉 🇬🇹
危楼	危楼 🏚
危险	危险 ⚠️ 危险 ☠ ☢ ☣
危險	危險 ⚠️ 🚨️
卷发	卷发 👨‍🦱 👩‍🦱 🦱 卷发 👨‍🦱 👩‍🦱 👨🏻‍🦱 👨🏼‍🦱 👨🏽‍🦱 👨🏾‍🦱 👨🏿‍🦱 👩🏻‍🦱 👩🏼‍🦱 👩🏽‍🦱 👩🏾‍🦱 👩🏿‍🦱
卷发女	卷发女 👩‍🦱
卷发女人	卷发女人 👩‍🦱
卷发女子	卷发女子 👩‍🦱
卷字头	卷字头 龹
卷曲环	卷曲环 ➰
卷毛狗	卷毛狗 🐩
卷烟	卷烟 🚬
卷纸	卷纸 🧻
卷起的报纸	卷起的报纸 🗞
卷轴	卷轴 📜
卷边的纸	卷边的纸 📃
卷饼	卷饼 🌮 🌯
厂部	厂部 ⺁
厄利垂亞	厄利垂亞 🇪🇷
厄瓜多	厄瓜多 🇪🇨
厄瓜多尔	厄瓜多尔 🇪🇨 厄瓜多尔 🇪🇨
厄瓜多尔共和国	厄瓜多尔共和国 🇪🇨
厄瓜多爾	厄瓜多爾 🇪🇨
厄立特里亚	厄立特里亚 🇪🇷 厄立特里亚 🇪🇷
厄立特里亚国	厄立特里亚国 🇪🇷
厄立特里亞	厄立特里亞 🇪🇷
厉害	厉害 👍 厉害 （。＾▽＾）
压力	压力 ㎩ ㍱ ㎪ ㎫ ㎬
压强	压强 ㎩ ㍱ ㎪ ㎫ ㎬
压縮	压縮 🗜️
压路機	压路機 🚜️
厌恶	厌恶 🙄 🙃
厕所	厕所 🚻 🚾 厕所 🚾 🚹 🚺
厘	厘 ㌢
厘米	厘米 ㎝ 厘米 cm centimeter
原子	原子 ⚛️ 原子 ⚛️ 原子 ⚛️
原子彈	原子彈 ☢️
原子符号	原子符号 ⚛️
原子筆	原子筆 🖊️
原子能	原子能 ⚛️
原木	原木 🪵
原諒我	原諒我 🙏🏻️
厨刀	厨刀 🔪
厨师	厨师 👨‍🍳 👩‍🍳 厨师 👨‍🍳 🧑‍🍳 👩‍🍳 👨🏻‍🍳 👨🏼‍🍳 👨🏽‍🍳 👨🏾‍🍳 👨🏿‍🍳 🧑🏻‍🍳 🧑🏼‍🍳 🧑🏽‍🍳 🧑🏾‍🍳 🧑🏿‍🍳 👩🏻‍🍳 👩🏼‍🍳 👩🏽‍🍳 👩🏾‍🍳 👩🏿‍🍳
厲害	厲害 🤩
厶部	厶部 厶
去	去 乀(ˉεˉ乀) (ーー゛)
去死	去死 (-__-)=@))>o<)
去氧核糖核酸	去氧核糖核酸 🧬
参考	参考 ※
參禪	參禪 🧘🏻
參禪女	參禪女 🧘🏻‍♀️
參禪男	參禪男 🧘🏻‍♂️
又又又又	又又又又 又双叒叕
叉	叉 ❌ ❎ 叉 ❎️ 叉 🔱 ❌ ✖ ✗ ✘ × ╳ ☒ ❎ * ⊗
叉乘	叉乘 ⨯
叉叉	叉叉 ❌ ❎ 叉叉 ❌️
叉梳	叉梳 🪮
友誼	友誼 🤝🏻
双	双 🈒
双人	双人 👥 双人 👥️
双人像	双人像 👥
双人旁	双人旁 彳
双剑	双剑 ⚔️
双剑交叉	双剑交叉 ⚔️
双剑号	双剑号 ‡
双卷曲环	双卷曲环 ➿
双叹号	双叹号 ‼️
双喜	双喜 囍
双喜临门	双喜临门 囍
双子座	双子座 ♊ 双子座 ♊️ 双子座 ♊
双峯駱駝	双峯駱駝 🐫️
双峰驼	双峰驼 🐫
双峰骆驼	双峰骆驼 🐫
双惊叹号	双惊叹号 ‼️
双感叹号	双感叹号 ‼️
双手	双手 🤲 双手 👐 🤲 👐🏻 👐🏼 👐🏽 👐🏾 👐🏿 🤲🏻 🤲🏼 🤲🏽 🤲🏾 🤲🏿
双手合十	双手合十 🙏
双手张开	双手张开 👐
双手手掌向上	双手手掌向上 🤲
双板	双板 ⛷️
双板滑雪	双板滑雪 ⛷️
双歎号	双歎号 ‼️
双目	双目 👀️ 👀️
双眼	双眼 👀️
双立人	双立人 彳
双耳刀	双耳刀 阝
双耳旁	双耳旁 阝
双耳瓶	双耳瓶 🏺
双肩包	双肩包 🎒 双肩包 🎒️
双蛇之杖	双蛇之杖 ☤
双蛇杖	双蛇杖 ☤
双鱼座	双鱼座 ♓ 双鱼座 ♓️ 双鱼座 ♓
反	反 ¬
反字框	反字框 ⺁
反对	反对 🙅‍♂️ 🙅‍♀️ 反对 (ﾟДﾟ*)ﾉ
反引号	反引号 `
反手食指向上指	反手食指向上指 👆
反手食指向下指	反手食指向下指 👇
反手食指向右指	反手食指向右指 👉
反手食指向左指	反手食指向左指 👈
反文	反文 攵
反文旁	反文旁 攵
反派	反派 🦹‍♂️ 🦹‍♀️ 反派 🦹‍♂ 🦹 🦹‍♀ 🦹🏻‍♂️ 🦹🏼‍♂️ 🦹🏽‍♂️ 🦹🏾‍♂️ 🦹🏿‍♂️ 🦹🏻 🦹🏼 🦹🏽 🦹🏾 🦹🏿 🦹🏻‍♀️ 🦹🏼‍♀️ 🦹🏽‍♀️ 🦹🏾‍♀️ 🦹🏿‍♀️
反犬旁	反犬旁 犭
反胃	反胃 🤢
反问号	反问号 ¿
发	发 🀅
发件	发件 📤
发件匣	发件匣 📤️
发件箱	发件箱 📤 发件箱 📤️
发传真	发传真 📠
发信	发信 📤
发冷	发冷 🥶
发卡	发卡 🪮
发型	发型 🦲 🦰 🦱 🦳 发型 🦲 🦰 🦱 🦳
发夢	发夢 💭️
发抖	发抖 😨 😱
发火	发火 😡 发火 😡️
发烧	发烧 🤒 发烧 🤒
发热	发热 🥵
发燒	发燒 🤒️
发狂	发狂 🤯
发票	发票 🧾 发票 🧾 发票 🧾
发红包	发红包 🧧
发色	发色 🦲 🦰 🦱 🦳 发色 🦲 🦰 🦱 🦳
发芽	发芽 🌱
发言	发言 💬️
发誓	发誓 ✊🏻️
发财	发财 🤑
发邮件	发邮件 📤
发釵	发釵 🪮
发飙	发飙 😡
取款	取款 🏧️
取款机	取款机 🏧 取款机 🏧
取款機	取款機 🏧️
取錢	取錢 🏧️
受伤	受伤 🤕 ❤️‍🩹 受伤 🤕 🩸
受伤的心	受伤的心 ❤️‍🩹
受伤的心灵	受伤的心灵 ❤️‍🩹
受傷	受傷 ❤️‍🩹 🤕️
受傷了	受傷了 🤕️
变化量	变化量 ∆
变形虫	变形虫 🦠
变性	变性 ⚧ 变性 ⚧️ 🏳️‍⚧️
变装	变装 🥸
叙利亚	叙利亚 🇸🇾 叙利亚 🇸🇾
叙利亚共和国	叙利亚共和国 🇸🇾
叠字符号	叠字符号 々 〻
口	口 👄 口 👄️ 口 👄 🫦
口岸	口岸 🛂️
口水	口水 🤤 口水 🤤 （¯﹃¯）
口红	口红 💄 口红 💄️ 口红 💄
口罩	口罩 😷 口罩 😷️ 口罩 😷
古典建筑	古典建筑 🏛
古堡	古堡 🏰️
古川伊织	古川伊织 古川いおり
古巴	古巴 🇨🇺 古巴 🇨🇺 古巴 🇨🇺
古巴共和国	古巴共和国 🇨🇺
古建筑	古建筑 🏛
古老的钥匙	古老的钥匙 🗝
句号	句号 。 .
可	可 🉑 可 🉑️ 可 🉑
可乐	可乐 🥤
可以	可以 🙆‍♂️ 🙆‍♀️ 🉑 可以 🆗️ 👌🏻️ 😉️ 🙂‍↕️ 可以 🙆‍♂ 🙆 🙆‍♀ 👌 👍 🆗 🙆🏻‍♂️ 🙆🏼‍♂️ 🙆🏽‍♂️ 🙆🏾‍♂️ 🙆🏿‍♂️ 🙆🏻 🙆🏼 🙆🏽 🙆🏾 🙆🏿 🙆🏻‍♀️ 🙆🏼‍♀️ 🙆🏽‍♀️ 🙆🏾‍♀️ 🙆🏿‍♀️ 👌🏻 👌🏼 👌🏽 👌🏾 👌🏿 👍🏻 👍🏼 👍🏽 👍🏾 👍🏿
可回收	可回收 ♻️
可怕	可怕 😨 😱 可怕 😨️ 😱️ 🙀️ 🤯 可怕 ヽ(*。>Д<)o゜
可怜	可怜 🥺 可怜 🥺 🥹
可怜兮兮	可怜兮兮 🥺
可恶	可恶 （＝。＝） (〃＞目＜)
可惜	可惜 😮‍💨
可愛	可愛 💠️ 🥰
可憐	可憐 🥺
可爱	可爱 😊 (๑>؂<๑) (๑•́₃•̀๑) (﹡ˆoˆ﹡) (｡･∀･)ﾉ (๑˙ー˙๑) (๑•ี_เ•ี๑) (ฅ>ω<*ฅ) (˃̶͈̯̜˂̶͈ˊ)︠³ （*＾-＾*） n(*≧▽≦*)n
可真	可真 😓️
可能	可能 🤔
台式机	台式机 🖥
台式电脑	台式电脑 🖥
台湾	台湾 🇹🇼 台湾 🇹🇼
台灣	台灣 🇹🇼
台球	台球 🎱 台球 🎱
台钟	台钟 🕰
台风	台风 🌀
史巴克	史巴克 🖖🏻️
史波克	史波克 🖖🏻️
史瓦濟蘭	史瓦濟蘭 🇸🇿
右	右 ➡️ 右 ➡️ 🫱🏻 右 ㊨ ➡ 🈮 → ⇒ ⇨ ⇢ ⇉
右上	右上 ↗️ 右上 ↗️
右上箭头	右上箭头 ↗️
右下	右下 ↘️ 右下 ↘️
右下箭头	右下箭头 ↘️
右前	右前 ↗️
右勾拳	右勾拳 🤛🏻
右后	右后 ↘️
右向拳	右向拳 🤜
右手	右手 🫱 🫸 右手 🫲🏻 🫸🏻 右手 🫱 🫱🏻 🫱🏼 🫱🏽 🫱🏾 🫱🏿 🫴 🫴🏻 🫴🏼 🫴🏽 🫴🏾 🫴🏿 🫸 🫸🏻 🫸🏽 🫸🏿 🫸🏼 🫸🏾
右手边	右手边 👉🏻️
右拳	右拳 🤛 右拳 🤛🏻
右推	右推 🫸 右推 🫸🏻
右箭头	右箭头 ➡️
右耳刀	右耳刀 阝
右边	右边 👉 右边 👉🏻️ 🫱🏻
右钩拳	右钩拳 🤛
右面	右面 👉 右面 🫱🏻
